Id;Designator;Quantity;Manufacturer;Manufacturer part number;Description / value;Package;Type
1;R22,R4,R3,R2,R15,R19,R20,R21,R23,R24,R25;11;YAGEO;RC1206JR-074K7L;Resistor 4.7k立;1206;SMD
2;R18,R17,R13,R11,R10,R9,R8,R7;8;MULTICOMP PRO;MCWF12P3301FTL;Resistor 3.3k立;1206;SMD
3;C6;1;MULTICOMP PRO;MC1206B473K101CT;Capacitor 47nF;1206;SMD
4;Q2,Q1;2;ON SEMICONDUCTOR;BC850CLT1G;Transistor BC850;SOT-23;SMD
5;R16,R5,R1;3;MULTICOMP PRO;MCPWR06FTEO1800;Resistor 180立;1206;SMD
6;U6;1;INTEGRATED SILICON SOLUTION (ISSI);IS62C1024AL-35QLI;Static RAM 128 Mbit IS62C1024AL;TSOP-II-32;SMD
7;U5;1;Nexperia;74HCT574D,653;8 bit latch 74HCT574D;SOIC-20;SMD
8;R14,R12,R6;3;TE CONNECTIVITY;CRGH1206F1K8;Resistor 1.8k立;1206;SMD
11;C10,C9,C8,C5,C4,C3,C2,C1;8;KEMET;C1206C104K1RACTU;Capacitor 100nF;1206;SMD
12;U1;1;Xilinx;XC9572XL-10VQG44C;CPLD XC9572XL-VQ44;TQFP-44;SMD
13;U3;1;Texas Instruments;LM3940IMP-3.3/NOPB;Voltage regulator LM3940IMP-3.3;SOT-223-3;SMD
